fsd_no;fsd_vr;fsd_id;kohdenro;q1a;q1b;q1c;q1_1;q1_2;q1_3;q1_5a;q1_5b;q1_6;q1_7;q1_7b;q1_8a;q1_8b;q1_8c;q1_8d;q1_8e;q1_8f;q1_8g;q1_9;q1_10;q1_11a;q1_11b;q1_12;q1_13a;q1_13b;q1_13c;q1_13d;q1_13e;q1_13f;q1_13g;q1_13h;q2_1;q2_2_1;q2_2_2;q2_3;q2_4a_1;q2_4a_2;q2_4a_3;q2_4a_4;q2_4a_5;q2_4a_6;q2_4a_7;q2_4b;q2_5;q2_6;q2_7;q2_8_1;q2_8_2;q2_8_3;q2_9;q3_1;q3_1avo;q3_2;q3_2avo;q3_3;q3_4a_1;q3_4a_2;q3_4a_3;q3_4a_4;q3_4a_5;q3_4b;q3_5a;q3_5b;q3_6_1a;q3_6_1b;q3_6_2a;q3_6_2b;q3_6_3;q3_6_4;q3_6_5;q3_6_6;q3_6_7;q3_6_8;q3_6_9;q3_6_10;q3_6_11;q3_7_1;q3_7_2;q3_7_3;q3_7_4;q3_7_5;q3_7_6;q3_7_7;q3_7_8;q3_7_9;q3_7a1_1;q3_7a1_2;q3_7a1_3;q3_7a1_4;q3_7a1_5;q3_7a1_6;q3_7a1_7;q3_7a1_8;q3_7a1_9;q3_7a2_1;q3_7a2_2;q3_7a2_3;q3_7a2_4;q3_7a2_5;q3_7a2_6;q3_7a2_7;q3_7a2_8;q3_7a2_9;q3_7b1_1;q3_7b1_2;q3_7b1_3;q3_7b2_1;q3_7b2_2;q3_7b2_3;q3_8_1;q3_8_2;q3_8_3;q3_8_4;q3_8_5;q3_8avo;q3_9;q3_10;q3_11;q3_12_1;q3_12_2;q3_12_3;q3_12_4;q3_13;q3_14;q3_15;q3_16a;q3_16b;q3_16c;q3_16d;q3_16e;q3_16f;q3_16g;q3_16h;q3_16i;q3_16j;q3_16k;q3_16l;q3_17a_1;q3_17b_1;q3_17a_2;q3_17b_2;q3_17a_3;q3_17b_3;q3_17a_4;q3_17b_4;q3_17a_5;q3_17b_5;q3_17a_6;q3_17b_6;q3_17a_7;q3_17b_7;q3_18a;q3_18b;q3_18c;q3_19;q4_1;q4_2_1;q4_2_2;q4_2_3;q4_2_4;q4_2_5;q4_3_1;q4_3_2;q4_4;q4_5;q4_5avo1;q4_5avo2;q4_6a_1;q4_6a_2;q4_6a_3;q4_6a_4;q4_6a_5;q4_6a_6;q4_6a_7;q4_6a_8;q4_6a_9;q4_6aavo;q4_6b;q4_6bavo;q4_7;q4_8;q4_9a;q4_9b;q4_9c;q4_9d;q4_9e;q4_9f;q4_9g;q4_9h;q4_9i;q4_9j;q4_9k;q4_9l;q4_10aa;q4_10ab;q4_10ac;q4_10ad;q4_10ae;q4_10b1a;q4_10b1b;q4_10b1c;q4_10b1d;q4_10b2a;q4_10b2b;q4_10b2c;q4_10b2d;q4_10b3a;q4_10b3b;q4_10b3c;q4_10b3d;q4_10b4a;q4_10b4b;q4_10b4c;q4_10b4d;q4_10b5a;q4_10b5b;q4_10b5c;q4_10b5d;q5_1;q5_2;q5_3a;q5_3b;q5_3c;q5_4a;q5_4b;q5_4c;q5_5a;q5_5b;q5_5c;q5_5d;q5_5e;q5_5f;q5_5g;q5_5avo;q5_6a;q5_6b;q5_7;q5_8_1;q5_8_2;q5_8_3;q5_8_4;q5_8_5;q5_8_6;q5_8_7;q5_9;q5_10;q6_1_1;q6_1_2;q6_2a;q6_2b;q6_3;bv1;bv2;paino1;paino2
2978;1;1;10002;2;2; ;3;1;2;3; ;1;2;10;3;4;3;3;2;3;3;    3v   10kk;2;4;3;2500;3;3;3;3;3;2;4;3;2;20; ;2007-5;1;0;0;0;0;0;0;2;2007-5; ;2012-9;0;1;0; ;1; ;1; ;2;0;1;0;0;0;2;20;3; ;169; ;300;0; ; ; ; ; ; ; ; ;408;60;30;10;0;0;0;0;0;408;60;30;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;1;0;0;0; ;3;3;3; ; ; ; ; ; ;0;2; ;2;2;3;2; ;2;1;2;2;3;1;2;0;1;0;0;1;0;0;0;0;0;0;0;1;4;2;1;3;0;0;0;0;0; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ;3; ;3;2;3;3;3;4;4;3;2;3;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1988-1;2;1;1;1; ; ; ;5;0;2;0;0;0;0; ;2; ; ;0;0;0;0;0;0;1; ; ;1;1;9;9;3;5;2;131,336481726211;1,25992690482619
2978;1;2;10003;2;2; ;3;1;1;3; ;3;1;4;4;4;2;2;3;3;2;    2v    1kk;5;2;2;4000;2;3;2;2;1;3;5;4;2;529; ;1996-5;1;0;0;0;0;1;1;2;1996-5;2010-10;2012-9;0;1;0;1;3; ;3; ;1;0;0;1;0;0;3;99;99; ; ; ;1780;300; ; ; ; ; ; ; ;100;1450;300;100;100;30;0;0;200;300;1000;300;100;100;30;0;0;200;300;450;0;0;0;0;0;0;0;0;0;500;350;0;0;0;1;0;0;0;0; ;5;5;2;3;3;3;3;1;1;20;3;3;3;3;2;2;2;3;2;3;3;2;0;4;0;4;0;4;0;4;2;4;2;0;0;0;5;4;4;3;3;0;0;0;0;0; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ;2;1;5;3;3;1;1;1;1;1;1;1;1;2;2;2;1;1;643;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1;233;1;2;1977-3;2;1;1;1; ; ; ;5;3;4;0;0;0;0; ;2; ; ;0;0;0;0;0;0;1; ; ;5;3;1;3;6;6;3;161,836358634116;1,55251594790916
2978;1;3;10005;2;2; ;3;1;2;3; ;1;4; ;3;4;3;2;2;1;3;    3v    6kk;5;1;2;3000;1;1;1;1;1;5;5;3;2;109; ;2009-6;1;0;0;0;0;0;0;2;2009-6; ;2011-9;1;0;0;1;1; ;2; ;2;0;1;0;0;0;2;30;5;0;250;0;220;1000;100;0;250;0;0;0;0;0;466;300;20;35;0;0;0;100;200;466;300;20;35;0;0;0;100;200;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;1;0; ;4;2;1;1;1;4;4;5;1;24;1;3;2;2;2;1;2;1;1;2;1;1;3;0;3;0;3;0;3;0;3;0;0;0;0;0;3;5;2;1;3;0;0;0;0;0; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ;2;2;4;4;5;4;4;3;3;3;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1990-3;2;1;1;1; ; ; ;5;2;3;0;0;0;0; ;2; ; ;0;0;0;0;0;0;1; ; ;6;3;12;12;6;5;2;128,4725190638;1,232452561328
2978;1;4;10015;2;2; ;3;1;2;4; ;1;3; ;4;4;4;2;2;1;4;    3v    6kk;3;4;2;2200;4;4;4;4;2;1;5;4;3;165; ;2008-2;0;1;1;0;0;0;0;2;2008-2; ;2010-9;1;0;0;3;1; ;2; ;2;1;1;0;0;0;1;20;1;0;201;0;298;0;0;0;0;179;0;0;0;0;460;150;0;46;0;0;100;0;10;460;100;0;46;0;0;100;0;10;0;50;0;0;0;0;0;0;0;27;0;0;0;0;0;1;0;1;0;0; ;4;1;3; ; ; ; ; ; ;0;2;3;2;2;1;1;2;2;2;2;3;2;7;2;7;2;7;2;7;2;7;2;0;2;0;2;1;4;2;1;3;0;0;0;0;0; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ;3;4;2;5;1;5;3;5;5;5;1;1;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1983-3;2;1;1;1; ; ; ;5;1;4;0;0;0;0; ;2; ; ;0;0;0;0;0;0;1; ; ;3;3;3;5;5;5;2;216,127841899267;2,0733407756313
2978;1;5;10017;2;2; ;3;1;1;4; ;1;2;4;1;1;3;2;2;2;2;    2v    6kk;2;3;2;2300;2;2;3;2;3;2;5;4;3;734; ;2005-3;0;0;1;0;0;0;0;2;2005-3; ; ;1;0;0;2;1; ;3; ;2;0;0;1;1;1;3; ;99; ; ; ; ; ; ; ; ; ; ; ; ;1400;400;200;0;100;0;0;600;0;0;400;200;0;100;0;0;600;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;1;0;0;0;0; ;3;2;2;1;1;1;3;2;1;4;1;3;3;3;3;2;2;1;1;1;2;9;0;12;0;12;0;12;0;12;0;12;0;12;0;12;2; ; ;1;3;0;0;0;0;0; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ;3;1;2;5;3;2;1;2;2;3;1;1; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;6;348;1;1; ; ; ; ;1972-8;2;1;1;1; ; ; ;5;0;3;1; ; ;2;unkari;2; ; ;0;0;0;0;0;0;1; ; ;3;3;3;3;5;5;2;216,127841899267;2,0733407756313
2978;1;6;10018;2;1;1;4;1;2;5; ;1;1;7;1;1;1;1;1;1;1;    2v    0kk;1;2;2;4500;1;2;1;2;1;5;5;3;4;853; ;1986-6;1;1;0;0;0;1;0;2;2010-6;1998-8;2011-8;0;1;0;1;5; ;3; ;1;0;0;1;0;0;3;40;45;0;0;0;0;3000;0;0;500;0;0;0;0;0;300;400;300;30;10;0;500;200;100;300;400;300;30;10;0;500;200;100;0;0;0;0;0;0;0;0;0;0;100;80;0;0;0;0;1;0;0;0; ;4;4;2;1;1;1;4;2;1;17;2;2;3;3;1;3;2;3;1;2;2;2;0;5;0;5;0;5;0;10;5;10;7;2;0;0;3;4;5;1;3;0;0;0;0;0; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ;1;1;4;4;4;1;3;2;1;1;1;1;1;2;2;1;1;,1;276;1;1; ; ; ; ; ; ; ; ;1;752;2;2;12;840;1;2;1960-8;2;1;1;1; ; ; ;5;4;4;2;0;0;0; ;1;3;13;0;0;0;0;0;0;1; ; ;4;3;1;4;8;5;2;139,664809770671;1,33982157261018
2978;1;7;10026;2;2; ;3;1;1;5; ;1;3; ;2;1;2;2;1;2;2;    3v    6kk;2;2;3;3000;2;2;2;1;1;4;4;4;3;505; ;2004-5;0;1;0;0;0;1;0;2;2004-5; ;2012-1;1;0;0;1;5; ;2; ;2;0;0;1;0;0;3;60;75; ; ; ; ;0; ; ; ; ;1700; ; ; ;800;300;250;10;0;0;0;0;0;800;300;250;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;5;3;3; ; ; ; ; ; ;0;2;2;2;2;2;2;2;2;1;2;2;9;0;2;0;2;0;2;0;2;6;0;4;0;0;0;4;5;4;1;3;0;0;0;0;0; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ;3;3;5;4;3;4;2;3;3;2;2;3;2;1;2;2;2; ; ; ; ;1;724;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1985-12;2;1;1;1; ; ; ;5;1;2;0;0;0;0; ;1;3;2;0;0;0;0;0;0;1; ; ;1;3;7;5;6;5;2;142,201278435145;1,36415422620053
2978;1;8;10031;2;2; ;3;1;2;5; ;1;3; ;3;4;2;2;2;2;1;    2v    2kk;1;1;2;3000;1;2;1;1;1;4;5;3;3;398; ;2010-5;0;1;0;0;0;0;0;1;2010-5; ;2011-9;1;0;0;1;1; ;1; ;2;1;0;0;0;0;1;5;1; ;280; ;200;500; ; ; ; ; ; ; ; ;424;200;150;10;10;0;120;50;150;424;200;150;10;10;0;120;50;150;0;0;0;0;0;0;0;0;0;70;20;0;0;0;0;0;1;0;0;0; ;1;5;2;1;1;1;1;1;1;5;2;2;1;2;2;1;2;1;2;2;2;2;6;1;6;1;6;1;6;1;6;1;0;2;0;2;3;4;3;1;3;0;0;0;0;0; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ;4;2;1;4;2;2;1;1;1;1;5;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1990-6;2;1;1;1; ; ; ;5;0;2; ; ; ; ; ;2; ; ;0;0;0;0;0;0;1; ; ;1;3;7;4;6;5;2;106,300970200355;1,01975818602902
2978;1;9;10036;2;2; ;3;1;2;5; ;1;2;10;2;4;2;2;2;2;2;    3v    6kk;2;1;2;2300;1;1;1;1;1;5;5;2;2;694; ;2009-6;1;0;0;0;0;0;0;2;2009-6; ;2009-9;0;1;0;3;3; ;2; ;2;0;0;1;0;0;3;25;35;0;220;0;240;520;0;0;250;0;0;0;0;0;320;280;160;10;0;0;0;0;30;320;280;160;10;0;0;0;0;30;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;1;0;0;0; ;4;3;1;1;1;1;2;5;1;13,5;1;9;2;2;2;2;2;2;2;2;2;2;6;1;6;2;6;1;6;2;6;1;0;0;0;0;3;4;3;1;3;0;0;0;0;0; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ;1;2;3;3;4;1;2;3;3;3;3;3;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1990-3;2;1;1;1; ; ; ;5;3;4;1;0;0; ; ;2; ; ;0;0;0;0;0;0;1; ; ;7;3;3;4;7;5;2;106,300970200355;1,01975818602902
2978;1;10;10047;2;2; ;3;2;2;5; ;1;4; ;2;2;3;1;1;1;1;    4v    0kk;2;3;4;2800;1;3;3;3;3;4;4;5;3;265; ;2008-3;0;0;1;0;0;1;1;2;2008-3; ;2010-9;1;0;0;1;2; ;6;Osuuskunta;2;0;0;1;0;0;3;99;99;0;0;0;0;2500;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0; ;5;4;2;1;2;1;3;3;1;15;3;9;9;1;3;2;9;3;2;2;2;2;0;2;0;2;0;2;0;2;3,5;0;7,5;0;0;0;3;3;3;1;3;0;0;0;0;0; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ;2; ;5;4;5;3;5;5;3;5;1;5;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;1;1; ; ; ;5;1;2;0;0;0; ; ;2; ; ;0;0;0;0;0;0;1; ; ;4;8;5;2;8;6;3;139,664809770671;1,33982157261018
