"maa";"alue";"BKT";"hedelmallisyys";"vaestonkasvu";"imevaiskuolleisuus";"kaupunkialue";"lukutaito";"lukutaito_naiset"
"Albania";"Europe";4042;1,53;0,3;17;54,5;96;95
"Algeria";"Africa";5523;2,14;1,4;21;73,8;73;64
"Angola";"Africa";5318;5,14;2,7;96;60;70;58
"Argentina";"Latin America";10994;2,17;0,9;12;92,7;98;98
"Armenia";"Asia";3270;1,74;0,3;24;64,1;100;99
"Aruba";"Caribbean";24753;1,67;0,3;15;46,9;97;97
"Azerbaijan";"Asia";6813;2,15;1,2;38;53,9;100;100
"Bahrain";"Asia";19512;2,43;2,1;7;88,7;92;90
"Bangladesh";"Asia";706;2,16;1,3;42;28,9;57;52
"Belarus";"Europe";5768;1,48;-0,3;6;75,5;100;99
"Benin";"Africa";802;5,08;2,7;77;45,6;42;30
"Bhutan";"Asia";2336;2,26;1,5;38;36,4;53;39
"Bosnia and Herzegovina";"Europe";4807;1,13;-0,2;13;48,8;98;96
"Botswana";"Africa";8533;2,62;1,1;35;62,3;84;85
"Brazil";"Latin America";12594;1,8;0,8;19;84,9;90;90
"Brunei Darussalam";"Asia";40301;1,98;1,7;5;76,4;95;94
"Bulgaria";"Europe";7187;1,55;-0,7;9;73,7;98;98
"Burkina Faso";"Africa";595;5,75;3;71;27,4;29;22
"Burundi";"Africa";273;4,05;1,9;94;11,2;67;62
"Cambodia";"Asia";897;2,42;1,2;53;20,1;74;66
"Cameroon";"Africa";1319;4,29;2,1;85;52,7;71;63
"Cape Verde";"Africa";3773;2,28;0,9;18;63,4;84;79
"Central African Republic";"Africa";489;4,42;2;96;39,3;56;43
"Chad";"Africa";907;5,74;2,6;124;21,9;34;24
"Chile";"Latin America";14395;1,83;0,9;7;89,4;99;98
"China";"Asia";5439;1,56;0,4;20;51,9;94;91
"Colombia";"Latin America";7100;2,29;1,3;17;75,6;93;93
"Comoros";"Africa";809;4,74;2,5;63;28,1;75;70
"Congo";"Africa";3198;4,44;2,2;67;64,1;NA;NA
"Costa Rica";"Latin America";8676;1,81;1,4;9;65,1;96;96
"Croatia";"Europe";14217;1,5;-0,2;6;58,1;99;98
"Cuba";"Caribbean";6106;1,45;0;5;75,1;100;100
"Cyprus";"Asia";30523;1,46;1,1;4;70,7;98;97
"Democratic Republic of the Congo";"Africa";237;5,49;2,6;109;34,8;67;57
"Dominican Republic";"Caribbean";5512;2,49;1,2;22;70,3;90;90
"Ecuador";"Latin America";4526;2,39;1,3;19;68;92;90
"Egypt";"Africa";2801;2,64;1,7;22;43,6;72;64
"El Salvador";"Latin America";3702;2,17;0,6;19;65,3;84;82
"Equatorial Guinea";"Africa";22409;4,98;2,7;93;39,6;94;91
"Eritrea";"Africa";482;4,24;2,9;48;21,8;68;58
"Estonia";"Europe";16542;1,7;-0,1;4;69,5;100;100
"Ethiopia";"Africa";357;3,85;2,1;63;17,2;39;29
"Gabon";"Africa";15738;3,2;1,9;44;86,5;88;85
"Gambia";"Africa";689;4,69;2,7;66;57,9;50;40
"Georgia";"Asia";3319;1,53;-0,6;26;52,9;100;100
"Ghana";"Africa";1570;3,99;2,3;44;52,6;67;61
"Greece";"Europe";26251;1,54;0,2;4;61,7;97;96
"Guatemala";"Latin America";3178;3,84;2,5;26;50,2;75;70
"Guinea";"Africa";544;5,03;2,5;84;35,9;41;30
"Guinea-Bissau";"Africa";591;4,88;2,1;110;44,6;54;41
"Haiti";"Caribbean";665;3,16;1,3;58;54,8;49;45
"Honduras";"Latin America";2250;3;2;24;52,7;85;85
"Hungary";"Europe";13919;1,43;-0,2;5;69,9;99;99
"India";"Asia";1528;2,54;1,3;48;31,6;63;51
"Indonesia";"Asia";3495;2,06;1;25;51,5;93;90
"Iraq";"Asia";3758;4,54;3,1;33;66,4;78;71
"Italy";"Europe";36124;1,48;0,2;3;68,5;99;99
"Jamaica";"Caribbean";5360;2,26;0,4;22;52,1;87;91
"Jordan";"Asia";4556;2,89;1,9;19;83;93;89
"Kazakhstan";"Asia";11503;2,48;1;24;53,5;100;100
"Kenya";"Africa";819;4,62;2,7;58;24,4;87;84
"Kuwait";"Asia";57102;2,25;2,4;8;98,3;94;92
"Kyrgyzstan";"Asia";1098;2,62;1,1;33;35,4;99;99
"Latvia";"Europe";12697;1,51;-0,4;7;67,7;100;100
"Lebanon";"Asia";9165;1,76;0,7;20;87,4;90;86
"Lesotho";"Africa";1114;3,05;1;62;28,3;90;96
"Liberia";"Africa";278;5,04;2,6;77;48,5;61;57
"Lithuania";"Europe";12962;1,5;-0,4;6;67,2;100;100
"Madagascar";"Africa";462;4,49;2,8;41;33,2;64;62
"Malawi";"Africa";388;5,97;3,2;86;15,8;75;68
"Malaysia";"Asia";9977;2,57;1,6;7;73,5;93;91
"Maldives";"Asia";6405;1,67;1,3;8;42,3;98;98
"Mali";"Africa";671;6,12;3;92;35,6;31;20
"Malta";"Europe";21269;1,28;0,3;5;95;92;94
"Mexico";"Latin America";10063;2,23;1,1;14;78,4;93;92
"Mongolia";"Asia";3060;2,45;1,5;31;69,5;97;98
"Montenegro";"Europe";7196;1,63;0,1;8;63,5;98;97
"Morocco";"Africa";3107;2,18;1;29;57,4;56;44
"Mozambique";"Africa";536;4,71;2,2;78;31,4;56;43
"Myanmar";"Asia";1144;1,94;0,8;45;33,2;92;90
"Namibia";"Africa";5439;3,06;1,7;30;39;89;88
"Nepal";"Asia";607;2,59;1,7;32;17,3;60;48
"Nicaragua";"Latin America";1243;2,5;1,4;18;57,8;78;78
"Niger";"Africa";397;6,93;3,5;86;18,1;29;15
"Nigeria";"Africa";1509;5,43;2,5;88;50,3;61;50
"Oman";"Asia";25536;2,15;1,9;8;73,7;87;81
"Pakistan";"Asia";1182;3,2;1,8;66;36,5;55;40
"Panama";"Latin America";8590;2,41;1,5;16;75,9;94;93
"Papua New Guinea";"Oceania";1794;3,8;2,2;44;12,5;61;57
"Paraguay";"Latin America";3485;2,86;1,7;27;62,5;94;93
"Peru";"Latin America";6138;2,41;1,1;18;77,6;90;85
"Philippines";"Asia";2370;3,05;1,7;21;49,1;95;96
"Poland";"Europe";13424;1,42;0;6;60,8;100;99
"Portugal";"Europe";22226;1,31;0;4;61,6;95;94
"Puerto Rico";"Caribbean";27098;1,76;0;7;99;90;91
"Qatar";"Asia";92682;2,2;2,9;8;98,9;96;95
"Romania";"Europe";8853;1,43;-0,2;12;52,8;98;97
"Russian Federation";"Europe";13006;1,53;-0,1;11;74;100;99
"Rwanda";"Africa";583;5,28;2,9;93;19,4;71;68
"Samoa";"Oceania";3629;3,76;0,5;20;19,6;99;99
"Sao Tome and Principe";"Africa";1519;3,49;2;47;63,4;89;85
"Saudi Arabia";"Asia";21262;2,64;2,1;16;82,5;87;81
"Senegal";"Africa";1132;4,61;2,6;50;42,8;50;39
"Serbia";"Europe";5579;1,56;-0,1;11;56,7;98;97
"Sierra Leone";"Africa";483;4,73;2,1;103;39,6;42;31
"Singapore";"Asia";50087;1,37;1,1;2;100;96;94
"Slovenia";"Europe";24709;1,48;0,2;3;49,8;100;100
"South Africa";"Africa";8090;2,38;0,5;46;62,4;89;87
"Spain";"Europe";31820;1,5;0,6;4;77,6;98;97
"Sri Lanka";"Asia";2812;2,24;0,8;11;15,2;91;90
"Suriname";"Latin America";8708;2,27;0,9;20;70,1;95;94
"Swaziland";"Africa";3399;3,17;1,4;65;21,2;87;87
"Tajikistan";"Asia";935;3,16;1,5;51;26,5;100;100
"Thailand";"Asia";5318;1,53;0,5;11;34,4;94;92
"Togo";"Africa";600;3,86;2;67;38,5;57;44
"Tonga";"Oceania";4335;3,78;0,4;21;23,5;99;99
"Trinidad and Tobago";"Caribbean";16272;1,63;0,3;24;14;99;98
"Tunisia";"Africa";4373;1,91;1;18;66,5;78;71
"Turkey";"Asia";10524;2,02;1,1;20;72,5;91;85
"Turkmenistan";"Asia";5042;2,32;1,2;49;49;100;99
"Uganda";"Africa";558;5,9;3,1;72;16;73;65
"Ukraine";"Europe";3657;1,48;-0,5;12;69,1;100;100
"United Arab Emirates";"Asia";42921;1,71;2,2;7;84,7;90;91
"Uruguay";"Latin America";13819;2,04;0,3;12;92,6;98;98
"Uzbekistan";"Asia";1641;2,26;1,1;44;36,2;99;99
"Vanuatu";"Oceania";3168;3,75;2,4;24;25,2;83;81
"Venezuela";"Latin America";10731;2,39;1,5;15;93,7;96;95
"Viet Nam";"Asia";1392;1,75;1;18;31,7;93;91
"Yemen";"Asia";1270;4,94;3;44;32,9;64;47
"Zambia";"Africa";1426;6,3;3;81;39,6;71;62
"Zimbabwe";"Africa";695;3,11;2,2;47;39,1;92;90
